title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Cities XXL,http://fitgirl-repacks.site/cities-xxl/,2016-07-09,6,,,RUS/ENG/MULTI7Original Size: 5 3 GBRepack Size: 3 4 GB,5427,3481,0.64,
Cities: Skylines – Deluxe Edition v1.9.0f5 + 20 DLCs,http://fitgirl-repacks.site/cities-skylines-deluxe-edition/,2017-10-21,392,Managerial  Strategy  3D  Real-time,Colossal Order / Paradox Interactive,RUS/ENG/MULTI8,4608,3072,0.67,
Citizens of Earth,http://fitgirl-repacks.site/citizens-of-earth/,2016-07-08,1,,,ENG/MULTI5Original Size: 1 7 GBRepack Size: 753 MB,1740,753,0.43,
,,,,,,,,,,
Company of Heroes 2: Master Collection – v4.0.0.21748 + All DLCs,http://fitgirl-repacks.site/company-of-heroes-2-master-collection/,2017-11-25,1,Strategy  RTS  World War II  3D,Relic Entertainment / Sega,RUS/ENG/MULTI8,35942,17408,0.48,
Conarium – v1.0.0.3,http://fitgirl-repacks.site/conarium-v1-0-0-3/,2017-06-08,32,Adventure  First-person  3D  Horror,Zoetrope Interactive / Iceberg Interactive,RUS/ENG/MULTI8,3072,1945,0.63,
Conception II: Children of the Seven Stars,http://fitgirl-repacks.site/conception-ii-children-seven-stars/,2016-08-17,48,RPG  Third-person  3D  Japanese,,ENG/JAP,4505,1198,0.27,
Congo,http://fitgirl-repacks.site/congo/,2016-07-24,4,,,,1740,899,0.52,
Constructor HD – v05.06.2017,http://fitgirl-repacks.site/constructor-hd/,2017-06-16,36,Managerial  Isometric  2D  Real-time,,ENG/MULTI6,7065,3072,0.43,
Cosmonautica: A Space Trading Adventure,http://fitgirl-repacks.site/cosmonautica-a-space-trading-adventure/,2016-07-19,,,,RUS/ENG/MULTI5Original Size: 662 MBRepack Size: 215/374 MB [Selective Download],662,215,0.32,
Cossacks 3 – v1.0.0.46 (Update 3),http://fitgirl-repacks.site/cossacks-3-v1-0-0-46-update-3/,2016-09-21,83,Strategy  RTS  Isometric  3D  Real-time,,RUS/ENG/MULTI7,1331,706,0.53,
Crashed Lander: Steam Version,http://fitgirl-repacks.site/crashed-lander-steam-version/,2016-07-09,,,,,555,411,0.74,
Crazy Machines 3,http://fitgirl-repacks.site/crazy-machines-3/,2016-10-18,13,Logic  Puzzle  Physics-based  3D,FAKT Software / Daedalic Entertainment,RUS/ENG/MULTI11,2355,1638,0.7,
