title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
The Witcher 3: Wild Hunt – Game of the Year Edition v1.31,http://fitgirl-repacks.site/witcher-3-wild-hunt-game-year-edition/,2017-04-26,722,RPG  Open world  Third-person  3D,,RUS/ENG/MULTI15,57344,23347,0.41,
The Witcher 3: Wild Hunt – Patch from v1.21 to v1.22,http://fitgirl-repacks.site/the-witcher-3-wild-hunt-patch-from-v1-21-to-v1-22/,2016-07-28,23,,,RUS/ENG/MULTI14Original Size: 2.7 GBRepack Size: 327 MB,2764,327,0.12,
The Witness,http://fitgirl-repacks.site/the-witness/,2016-07-22,3,,,RUS/ENG/MULTI14Original Size: 3.6 GBRepack Size: 3.3 GB,3686,3379,0.92,
theHunter: Call of the Wild – v1.12 + 10 DLCs,http://fitgirl-repacks.site/thehunter-call-wild/,2017-10-20,200,Sports  Open world  Hunting  First-person  3D,Expansive Worlds  Avalanche Studios  astragon Entertainment,RUS/ENG/MULTI9,15564,7065,0.45,
There Came an Echo v1.0.6,http://fitgirl-repacks.site/there-came-an-echo-v1-0-6/,2016-07-14,,,,RUS/ENG/MULTI11Original Size: 2 6 GBRepack Size: 1 4~1 6 GB (Selective Download),2662,1433,0.54,
Thief: Complete Edition,http://fitgirl-repacks.site/thief-complete-edition/,2016-07-16,17,,,RUS/ENG/MULTI8Original Size: 22 2 GBRepack Size: 13 3 GB [Selective Download],22732,13619,0.6,
This is the Police v1.0.24,http://fitgirl-repacks.site/this-is-the-police-v1-0-24/,2016-08-02,28,,,RUS/ENG/GER,1372,973,0.71,
This War of Mine: Anniversary Edition – v4.0.0 + 3 DLCs,http://fitgirl-repacks.site/this-war-of-mine/,2017-11-16,2,Lifestyle  Strategy  Survival  Side  3D,,RUS/ENG/MULTI12,1945,1024,0.53,
Through the Woods + HotFix,http://fitgirl-repacks.site/through-the-woods-hotfix/,2016-10-28,35,Adventure  Third-person  3D  Horror,Antagonist / 1C Publishing EU,RUS/ENG/MULTI7,5120,3481,0.68,
Tinertia,http://fitgirl-repacks.site/tinertia/,2016-07-20,,,,ENG/MULTI5Original Size: 1.2 GBRepack Size: 841 MB,1228,841,0.68,
Titan Quest: Anniversary Edition – v1.47 + Ragnarok DLC,http://fitgirl-repacks.site/titan-quest-anniversary-edition/,2017-11-19,1,RPG  Action RPG  Isometric  3D,Iron Lore Entertainment / THQ,RUS/ENG/MULTI12,8192,3584,0.44,
Titanfall 2 – v2.0.7.0,http://fitgirl-repacks.site/titanfall-2/,2017-08-04,416,Action  Shooter  First-person  3D,Respawn Entertainment / Electronic Arts,RUS/ENG/MULTI10,50073,17203,0.34,
Tokyo 42 + Hotfix v1.0.1,http://fitgirl-repacks.site/tokyo-42-hotfix-v1-0-1/,2017-06-02,31,Action  Shooter  Open world  Stealth  Isometric  3D,Smac Games / Mode 7 Games,RUS/ENG/MULTI9,747,460,0.62,
Tokyo Xanadu eX+,http://fitgirl-repacks.site/tokyo-xanadu-ex/,2017-12-08,2,RPG  Action RPG  Third-person  3D  Japanese,Nihon Falcom  Aksys Games,ENG,4915,2560,0.52,
Tom Clancy’s Ghost Recon: Wildlands – Deluxe Edition  v1.6.0 + All DLCs,http://fitgirl-repacks.site/tom-clancys-ghost-recon-wildlands/,2017-08-05,1,Action  Shooter  Open world  First-person  Third-person  3D,Ubisoft Family,RUS/ENG/MULTi16,57856,28262,0.49,
Tom Clancy’s Rainbow Six: Siege – Complete Edition – v2.3.2 + All DLCs,http://fitgirl-repacks.site/tom-clancys-rainbow-six-siege/,2017-11-13,2,Action  Tactical shooter  First-person  3D,Ubisoft Montreal / Ubisoft Entertainment,RUS/ENG/MULTI14,58265,21606,0.37,
Tom Clancy’s Splinter Cell: Blacklist – Digital Deluxe Edition v1.03 + 2 DLCs,http://fitgirl-repacks.site/tom-clancys-splinter-cell-blacklist-digital-deluxe-edition-v1-03-2-dlcs/,2017-05-28,143,Action  Shooter  Stealth  3D,Ubisoft Toronto / Ubisoft Entertainment,RUS/ENG/MULTi16,20172,11571,0.57,
Torment: Tides of Numenera – v1.0.1 + 4 DLCs,http://fitgirl-repacks.site/torment-tides-numenera-v1-0-1-4-dlcs/,2017-03-02,165,RPG  Isometric  3D models on 2D backgrounds  Party-based  Turn-based,inXile Entertainment / Techland,RUS/ENG/MULTI6,4915,3379,0.69,
Total War: Attila v1.6.0.9824 + 8 DLCs,http://fitgirl-repacks.site/total-war-attila-v1-6-0-9824-8-dlcs/,2016-07-28,65,,,RUS/ENG/MULTI9Original Size: 20.7 GBRepack Size: 8.6~10 GB [Selective Download],21196,8806,0.42,
Total War: Rome 2 – Emperor Edition – v2.2.0 Build 17561.123828 + 15 DLCs,http://fitgirl-repacks.site/total-war-rome-2-emperor-edition/,2017-12-01,1,Strategy  Real-time  Turn-based  3D,Creative Assembly,RUS/ENG/MULTI9,23040,8396,0.36,
Total War: Shogun 2 – Gold Edition,http://fitgirl-repacks.site/total-war-shogun-2-gold-edition/,2016-07-14,47,,,RUS/ENG/MULTI8Original Size: 17 1 GBRepack Size: 11 4 GB [Selective Download],17510,11673,0.67,
Total War: WARHAMMER – v1.6.0 + 12 DLCs + Multiplayer,http://fitgirl-repacks.site/total-war-warhammer/,2017-06-18,234,Strategy  3D  Fantasy  Real-time  Turn-based,Creative Assembly / Sega,RUS/ENG/MULTi11,25600,12185,0.48,
Total War: WARHAMMER 2 + Multiplayer,http://fitgirl-repacks.site/total-war-warhammer-2/,2017-09-30,1,Strategy  Grand strategy  Top-down  3D,Creative Assembly / Sega,RUS/ENG/MULTI13,44953,20684,0.46,
Toukiden 2 – v1.0.1 + All DLCs,http://fitgirl-repacks.site/toukiden-2-v1-0-1-dlcs/,2017-03-23,272,RPG  Action RPG  Third-person  3D,Omega Force / Koei Tecmo,ENG/JAP,10240,5324,0.52,
Toukiden Kiwami v1.0.1,http://fitgirl-repacks.site/toukiden-kiwami-v1-0-1/,2016-07-18,9,,,ENG/JAPOriginal Size: 12 GBRepack Size: 6.82/7.23 GB [Selective Download],12288,6983,0.57,
Trackmania Turbo,http://fitgirl-repacks.site/trackmania-turbo/,2016-07-24,5,,,RUS/ENG/MULTI11Original Size: 3.4 GBRepack Size: 2.5 GB,3481,2560,0.74,
Train Fever + USA DLC,http://fitgirl-repacks.site/train-fever-usa-dlc/,2016-07-10,1,,,RUS/ENG/MULTI15Original Size: 2 3 GBRepack Size: 1 4 GB,2355,1433,0.61,
Train Sim World: CSX Heavy Haul – v1.4,http://fitgirl-repacks.site/train-sim-world-csx-heavy-haul/,2017-06-26,30,Simulation  Open world  First-person  3D,,RUS/ENG/MULTI7,9113,2048,0.22,
Train Simulator 2016: Steam Edition v53.9b,http://fitgirl-repacks.site/train-simulator-2016-steam-edition-v53-9b/,2016-07-21,11,,,RUS/ENG/MULTI7Original Size: 6.3 GBRepack Size: 3 GB,6451,3072,0.48,
Transformers: Devastation,http://fitgirl-repacks.site/transformers-devastation/,2016-07-20,3,,,ENG/MULTI5Original Size: 6.4 GBRepack Size: 5.2 GB,6553,5324,0.81,
Transformers: Fall of Cybertron + 3 DLCs,http://fitgirl-repacks.site/transformers-fall-of-cybertron/,2017-09-19,2,Action  Shooter  Third-person  3D,High Moon Studios / Activision,RUS/ENG/MULTI6,8089,3788,0.47,
TransOcean 2: Rivals,http://fitgirl-repacks.site/transocean-2-rivals/,2016-07-27,2,,,RUS/ENG/MULTI12Original Size: 3.7 GBRepack Size: 876 MB,3788,876,0.23,
Transport Fever – Build 11908,http://fitgirl-repacks.site/transport-fever-build-11908/,2016-11-14,27,Managerial  Strategy  Isometric  3D  Real-time,Urban Games / Gambitious Digital Entertainment,RUS/ENG/MULTI7,5120,3788,0.74,
Trials Fusion: Fault One Zero + All previous DLCs,http://fitgirl-repacks.site/trials-fusion-fault-one-zero-all-previous-dlcs/,2016-07-10,2,,,RUS/ENG/MULTI10Original Size: 8 3 GBRepack Size: 5 8 GB,8499,5939,0.7,
Trials Fusion: The Awesome MAX Edition,http://fitgirl-repacks.site/trials-fusion-the-awesome-max-edition/,2016-07-18,5,,,RUS/ENG/MULTI10Original Size: 10.4 GBRepack Size: 7.2 GB,10649,7372,0.69,
Trials of the Blood Dragon,http://fitgirl-repacks.site/trials-of-the-blood-dragon/,2016-07-28,17,,,RUS/ENG/MULTI10Original Size: 15.3 GBRepack Size: 11 GB,15667,11264,0.72,
Trillion: God of Destruction + Deluxe Pack DLC,http://fitgirl-repacks.site/trillion-god-destruction-deluxe-pack-dlc/,2016-11-18,43,RPG  Isometric  Third-person  3D  Japanese,Idea Factory / Compile Heart,ENG/JAP,7168,4710,0.66,
Trine 3: The Artifacts of Power v1.11,http://fitgirl-repacks.site/trine-3-the-artifacts-of-power-v1-11/,2016-07-24,,,,RUS/ENG/MULTI14Original Size: 3.7 GBRepack Size: from 2.8 GB [Selective Download],3788,2867,0.76,
Troll and I + Update 2,http://fitgirl-repacks.site/troll-update-2/,2017-03-26,89,Action  Puzzle solving  Third-person  3D,Spiral House / Maximum Games,ENG/MULTI6,11571,6553,0.57,
TRON RUN/r: Ultimate Edition + 5 DLC,http://fitgirl-repacks.site/tron-runr-ultimate-edition-5-dlc/,2016-07-28,5,,,ENG/MULTI6Original Size: 10.2 GBRepack Size: 6.5 GB,10444,6656,0.64,
Tropico 4: Collector’s Bundle,http://fitgirl-repacks.site/tropico-4-collectors-bundle/,2016-07-18,,,,RUS/ENG/MULTI8Original Size: 5 GBRepack Size: 3 GB [Selective Download],5120,3072,0.6,
Tropico 5: Complete Collection,http://fitgirl-repacks.site/tropico-5-complete-collection/,2016-07-23,12,,,RUS/ENG/MULTI8Original Size: 3.3 GBRepack Size: 1.9 GB [Selective Download],3379,1945,0.58,
Tropico 5: Espionage  Original Game + All DLCs,http://fitgirl-repacks.site/tropico-5-espionage-original-game-all-dlcs/,2016-07-16,6,,,RUS/ENG/MULTI6Original Size: 3 1 GBRepack Size: 1 8~2 5 GB [Selective Download],3174,1843,0.58,
Two Worlds 2: Call of the Tenebrae – v2.0 + Update 1,http://fitgirl-repacks.site/two-worlds-2-call-of-the-tenebrae/,2017-06-20,61,RPG  Action RPG  Open world  3D,Reality Pump / TopWare Interactive,,11161,6860,0.61,
Tyranny: Overlord Edition – v1.2.0.0079 + 5 DLCs,http://fitgirl-repacks.site/tyranny-overlord-edition/,2017-09-09,89,RPG  Perspective  Isometric  3D models on 2D backgrounds  Party-based  Pausable real-time,Obsidian Entertainment / Paradox Interactive,RUS/ENG/MULTI6,8704,5734,0.66,
Ultimate Epic Battle Simulator,http://fitgirl-repacks.site/ultimate-epic-battle-simulator/,2017-06-03,46,Simulation  Sandbox  3D  Pausable real-time,,ENG,2764,1740,0.63,
Ultimate Marvel vs. Capcom 3,http://fitgirl-repacks.site/ultimate-marvel-vs-capcom-3/,2017-03-08,133,Arcade  Fighting  Side  3D,,ENG/MULTI6,2457,1740,0.71,
Unbox: Newbie’s Adventure,http://fitgirl-repacks.site/unbox-newbies-adventure/,2017-07-30,33,Arcade  Jump and run  Third-person  3D,,,10137,1996,0.2,
Unravel,http://fitgirl-repacks.site/unravel/,2017-07-05,127,Arcade  Jump and run  Physics-based  Puzzle solving  Side  3D,Coldwood Interactive / Electronic Arts,ENG/MULTI6,2560,2048,0.8,
Valentino Rossi: The Game,http://fitgirl-repacks.site/valentino-rossi-the-game/,2016-07-28,18,,,ENG/MULTI6Original Size: 16.8 GBRepack Size: 8.2/8.3 GB,17203,8396,0.49,
Vangers: Special Edition,http://fitgirl-repacks.site/vangers-special-edition/,2016-07-10,,,,RUS/ENGOriginal Size: 262 MBRepack Size: 213 MB,262,213,0.81,
Vanquish,http://fitgirl-repacks.site/vanquish/,2017-05-27,129,Action  Shooter  Third-person  3D,PlatinumGames / Sega,ENG/MULTI6,17612,14643,0.83,
Vaporum,http://fitgirl-repacks.site/vaporum/,2017-10-01,,RPG  Dungeon crawl  Puzzle solving  First-person  3D  Steampunk,,,2867,1638,0.57,
Vendetta: Curse of Raven’s Cry + Update 2,http://fitgirl-repacks.site/vendetta-curse-of-ravens-cry-update-2/,2016-07-21,11,,,ENG/GEROriginal Size: 17.5 GBRepack Size: from 7.16 GB [Selective Download],17920,7331,0.41,
Verde Station,http://fitgirl-repacks.site/verde-station/,2016-07-07,,,,,395,272,0.69,
Victor Vran: Overkill Edition – v2.07 + Update June 7th + All DLCs,http://fitgirl-repacks.site/victor-vran-overkill-edition-v2-07-update-june-7th-dlcs/,2017-06-08,97,RPG  Action RPG  Isometric  3D,Haemimont Games,RUS/ENG/MULTI15,6451,3788,0.59,
Vikings: Wolves of Midgard,http://fitgirl-repacks.site/vikings-wolves-midgard/,2017-03-25,123,RPG  Action RPG  Isometric  3D,Games Farm / Kalypso Media,RUS/ENG/MULTI9,5017,2457,0.49,
Virginia,http://fitgirl-repacks.site/virginia/,2016-09-22,18,Adventure  3D  First-person,Variable State / 505 Games,RUS/ENG/MULTI13,2048,1126,0.55,
Viscera Cleanup Detail,http://fitgirl-repacks.site/viscera-cleanup-detail/,2016-07-21,1,,,,2252,1536,0.68,
Walking Dead: Michonne – Complete Season  Ep. 1-3,http://fitgirl-repacks.site/walking-dead-michonne-complete-season-ep-1-3/,2016-07-26,17,,,RUS/ENG/MULTI7Original Size: 5.2 GBRepack Size: 2.3 GB,5324,2355,0.44,
War for the Overworld v1.0.0.18,http://fitgirl-repacks.site/war-for-the-overworld-v1-0-0-18/,2016-07-15,5,,,RUS/ENG/MULTI7Original Size: 2 3 GBRepack Size: 1 4 GB,2355,1433,0.61,
Wargame: Red Dragon,http://fitgirl-repacks.site/wargame-red-dragon/,2016-07-28,6,,,RUS/ENG/MULTI10Original Size: 16.5 GBRepack Size: 8.9 GB,16896,9113,0.54,
Warhammer 40 000: Armageddon + Untold Battles DLC,http://fitgirl-repacks.site/warhammer-40000-armageddon-untold-battles-dlc/,2016-07-10,6,,,,1024,781,0.76,
Warhammer 40 000: Dawn of War 3 – v4.0.0.16278 + PreOrder Bonus,http://fitgirl-repacks.site/warhammer-40000-dawn-of-war-3/,2017-06-15,107,Strategy  RTS  Isometric  3D,Relic Entertainment / Sega,RUS/ENG/MULTI13,29286,14848,0.51,
Warhammer 40 000: Deathwatch – Enhanced Edition,http://fitgirl-repacks.site/warhammer-40000-deathwatch-enhanced-edition/,2016-07-20,,,,RUS/ENG/MULTI6Original Size: 2.8 GBRepack Size: 1.5 GB,2867,1536,0.54,
Warhammer 40 000: Space Marine Collection – v1.0.165 + All DLCs,http://fitgirl-repacks.site/warhammer-40000-space-marine-collection-v1-0-165-dlcs/,2016-08-25,26,Action  Shooter  Slasher  Third-person  3D,Relic / SEGA,RUS/ENG/MULTI9,9011,2150,0.24,
Warhammer: End Times – Vermintide,http://fitgirl-repacks.site/warhammer-end-times-vermintide/,2016-07-21,22,,,RUS/ENG/MULTI5Original Size: 21.7 GBRepack Size: 4 GB,22220,4096,0.18,
Warriors All-Stars + 27 DLCs,http://fitgirl-repacks.site/warriors-all-stars/,2017-09-01,,Action  Slasher  Third-person  3D,Omega Force / Koei Tecmo,RUS/ENG/MULTI6,17817,7065,0.4,
Wasteland 2 (v65562/Update 6),http://fitgirl-repacks.site/wasteland-2-v65562update-6/,2016-07-15,6,,,RUS/ENG/MULTI7Original Size: 8 4 GBRepack Size: 2 3 GB,8601,2355,0.27,
Wasteland 2: Director’s Cut + Update 6,http://fitgirl-repacks.site/wasteland-2-directors-cut-update-6/,2016-07-25,9,,,RUS/ENG/MULTI7Original Size: 6.7 GBRepack Size: 5 GB,6860,5120,0.75,
Watch Dogs 2: Digital Deluxe Edition – v1.07 + DLCs + Bonus Content,http://fitgirl-repacks.site/watch-dogs-2-digital-deluxe-edition-v1-07-dlcs-bonus-content/,2017-01-21,1,Action  Shooter  Driving  Open world  Third-person  3D,Ubisoft Montreal  Ubisoft Kiev  Ubisoft Entertainment,RUS/ENG/MULTI17,41881,16896,0.4,
Watch Dogs v1.06.329 + All DLCs,http://fitgirl-repacks.site/watch-dogs-v1-06-329-all-dlcs/,2016-07-22,142,,,RUS/ENG/MULTI16Original Size: 26.8 GBRepack Size: 12.2/12.3 GB [Selective Download],27443,12492,0.46,
Way of the Samurai 3 + 3 DLC,http://fitgirl-repacks.site/way-of-the-samurai-3-3-dlc/,2016-07-24,,,,ENG/MULTI3Original Size: 1.8 GBRepack Size: 864 MB,1843,864,0.47,
Way of the Samurai 4,http://fitgirl-repacks.site/way-of-the-samurai-4/,2016-07-18,4,,,ENG/JAPOriginal Size: 4.26 GBRepack Size: 1.96 GB,4362,2007,0.46,
We Are the Dwarves,http://fitgirl-repacks.site/we-are-the-dwarves/,2016-07-23,2,,,RUS/ENG/MULTI20Original Size: 2.2 GBRepack Size: 1.4 GB,2252,1433,0.64,
White Day: A Labyrinth Named School – v1.03 + 30 DLCs,http://fitgirl-repacks.site/white-day-a-labyrinth-named-school/,2017-08-26,1,Adventure  Survival  First-person  Horror  3D,Roi Games / PQube,RUS/ENG/MULTI7,4096,1382,0.34,
White Night,http://fitgirl-repacks.site/white-night/,2016-07-10,,,,ENG/MULTI5Original Size: 1 3 GBRepack Size: 532 MB,1331,532,0.4,
,,,,,,,,,,
Wolfenstein II: The New Colossus + Update 1,http://fitgirl-repacks.site/wolfenstein-ii-the-new-colossus/,2017-11-01,1,Action  Shooter  First-person  3D,MachineGames / Bethesda Softworks,RUS/ENG/MULTI9,46796,33689,0.72,
Wolfenstein: The Old Blood,http://fitgirl-repacks.site/wolfenstein-the-old-blood/,2016-07-15,34,,,RUS/ENG/MULTI7Original Size: 34 7 GBRepack Size: 31 6 GB [Selective Download],35532,32358,0.91,
Woolfe: The Red Hood Diaries,http://fitgirl-repacks.site/woolfe-the-red-hood-diaries/,2016-07-14,,,,RUS/ENG/MULTI7Original Size: 2 3 GBRepack Size: 1 2 GB,2355,1228,0.52,
World in Conflict: Complete Edition,http://fitgirl-repacks.site/world-in-conflict-complete-edition/,2016-07-20,1,,,RUS/ENGOriginal Size: 7.3 GBRepack Size: 4.3/4.7 GB [Selective Download],7475,4403,0.59,
World of Final Fantasy: Day One Edition,http://fitgirl-repacks.site/world-of-final-fantasy/,2017-11-22,1,RPG  Third-person  3D  Japanese,,ENG/MULTI8,10547,5939,0.56,
World to the West,http://fitgirl-repacks.site/world-to-the-west/,2017-05-06,22,Arcade  Puzzle solving  3D,Rain Games / Soedesco,ENG/MULTI9,2252,660,0.29,
Worlds of Magic,http://fitgirl-repacks.site/worlds-of-magic/,2016-07-14,3,,,RUS/ENG/MULTI7Original Size: 1 6 GBRepack Size: 869 MB,1638,869,0.53,
Worms W.M.D. + All-Stars DLC + Working Multiplayer,http://fitgirl-repacks.site/worms-w-m-d-stars-dlc-working-multiplayer/,2016-08-26,60,Strategy  Artillery  Side  2D  Turn-based,,RUS/ENG/MULTI8,1966,1095,0.56,
Worms World Party Remastered,http://fitgirl-repacks.site/worms-world-party-remastered/,2016-07-18,3,,,ENG/MULTI8Original Size: 584 MBRepack Size: 334 MB,584,334,0.57,
WRC 5 FIA World Rally Championship v1.0.2,http://fitgirl-repacks.site/wrc-5-fia-world-rally-championship-v1-0-2/,2016-07-20,2,,,RUS/ENG/MULTI8Original Size: 17.1 GBRepack Size: 5.1 GB,17510,5222,0.3,
WRC 6 FIA World Rally Championship – v1.0.53 + DLC + Multiplayer,http://fitgirl-repacks.site/wrc-6-fia-world-rally-championship/,2017-06-20,136,Racing  Rally  Third-person  3D,Kylotonn Entertainment / Bigben Interactive,ENG/MULTI6,14438,8243,0.57,
WRC 7 FIA World Rally Championship,http://fitgirl-repacks.site/wrc-7-fia-world-rally-championship/,2017-09-26,1,Racing  Rally  Third-person  3D,Kylotonn Entertainment / Bigben Interactive,RUS/ENG/MULTI10,19660,10752,0.55,
WWE 2K15 + All DLCs,http://fitgirl-repacks.site/wwe-2k15-all-dlcs/,2016-07-16,22,,,ENG/MULTI5Original Size: 30 4 GBRepack Size: 19 9 GB,31129,20377,0.65,
WWE 2K16 + All DLCs,http://fitgirl-repacks.site/wwe-2k16-all-dlcs/,2016-07-24,86,,,ENG/MULTI6Original Size: 40.8 GBRepack Size: from 13.7 GB [Selective Download],41779,14028,0.34,
WWE 2K17: Digital Deluxe Edition + 6 DLC + Update 1,http://fitgirl-repacks.site/wwe-2k17-digital-deluxe-edition-6-dlc-update-1/,2017-02-12,447,Arcade  Fighting  Third-person  3D,Yuke’s  Visual Concepts  2K Sports,ENG/MULTI6,46284,24268,0.52,
WWE 2K18 + 4 DLCs,http://fitgirl-repacks.site/wwe-2k18/,2017-10-20,2,Arcade  Fighting  Third-person  3D,Yuke’s / Visual Concepts / 2K Sports,ENG/MULTI6,41267,23756,0.58,
X Rebirth – v4.10 + 2 DLCs,http://fitgirl-repacks.site/x-rebirth-v4-10-2-dlcs/,2017-04-23,51,Managerial  Simulation  Open world  Pirate/Privateer  3D  Space,Egosoft,RUS/ENG/MULTI6,11161,3584,0.32,
XBlaze Code: Embryo,http://fitgirl-repacks.site/xblaze-code-embryo/,2016-07-24,3,,,ENG/JAPOriginal Size: 3.6 GBRepack Size: 1.7 GB,3686,1740,0.47,
XBlaze Lost: Memories,http://fitgirl-repacks.site/xblaze-lost-memories/,2016-08-12,6,,,ENG/JAP,5836,2560,0.44,
XCOM 2: Digital Deluxe Edition – v1.0.0.40058/Update 9 + 6 DLCs + Long War 2 v1.5,http://fitgirl-repacks.site/xcom-2-digital-deluxe-edition/,2017-09-04,186,Strategy  Tactics  3D  Turn-based,Firaxis Games / 2K Games,RUS/ENG/MULTI11,60211,22220,0.37,
XCOM: Enemy Unknown – The Complete Edition,http://fitgirl-repacks.site/xcom-enemy-unknown-the-complete-edition/,2016-07-08,16,,,RUS/ENG/MULTI10Original Size: 17 7 GBRepack Size: 12 GB,18124,12288,0.68,
Xuan-Yuan Sword: The Gate of Firmament,http://fitgirl-repacks.site/xuan-yuan-sword-the-gate-of-firmament/,2016-07-24,11,,,ENG/MULTI4Original Size: 24.1 GBRepack Size: from 5.8 GB,24678,5939,0.24,
Yesterday Origins + Update 1,http://fitgirl-repacks.site/yesterday-origins-update-1/,2016-11-13,49,Adventure  Point-and-click  Side  3D models on 2D backgrounds,Pendulo Studios / Microids,RUS/ENG/MULTI8,3276,2867,0.88,
Yooka-Laylee,http://fitgirl-repacks.site/yooka-laylee/,2017-04-12,59,Arcade  Jump and run  Third-person  3D,Playtonic Games / Team17 Digital,RUS/ENG/MULTI6,4198,2764,0.66,
Youtubers Life,http://fitgirl-repacks.site/youtubers-life/,2017-02-03,289,Lifestyle  Isometric  Top-down  3D  Real-time,,RUS/ENG/MULTI16,995,720,0.72,
Ys VI: The Ark of Napishtim,http://fitgirl-repacks.site/ys-vi-the-ark-of-napishtim/,2016-07-15,4,,,,2048,598,0.29,
Yu-Gi-Oh! Legacy of the Duelist + 18 DLCs + Multiplayer,http://fitgirl-repacks.site/yu-gi-oh-legacy-duelist-18-dlcs-multiplayer/,2016-12-11,200,CCG  3D  Japanese  Turn-based,Other Ocean / Konami Digital Entertainment,ENG/MULTI5,1126,577,0.51,
Zenith,http://fitgirl-repacks.site/zenith/,2016-09-21,7,RPG  Action RPG  Isometric  3D,Infinigon  BadLand Indie,RUS/ENG/MULTI6,2457,1843,0.75,
Zero Escape: Zero Time Dilemma,http://fitgirl-repacks.site/zero-escape-zero-time-dilemma/,2016-07-29,3,,,ENG/JAPOriginal Size: 2 GBRepack Size: from 698 MB [Selective Download],2048,698,0.34,
ZHEROS,http://fitgirl-repacks.site/zheros/,2016-07-23,,,,,2150,1024,0.48,
ZOMBI v1.1,http://fitgirl-repacks.site/zombi-v1-1/,2016-09-27,90,Action  Survival  First-person  3D  Horror  Zombies,Ubisoft Montpellier / Ubisoft Entertainment,RUS/ENG/MULTI9,20889,3891,0.19,
Zombie Army Trilogy,http://fitgirl-repacks.site/zombie-army-trilogy/,2016-07-14,9,,,RUS/ENG/MULTI9Original Size: 8 2 GBRepack Size: 4 5 GB,8396,4608,0.55,
Zombie Driver HD: Complete Edition,http://fitgirl-repacks.site/zombie-driver-hd-complete-edition/,2016-07-07,1,,,ENG/MULTI6Original Size: 1 2 GBRepack Size: 688 MB,1228,688,0.56,
Zombie Vikings,http://fitgirl-repacks.site/zombie-vikings/,2016-07-22,1,,,RUS/ENG/MULTI7Original Size: 2.22 GBRepack Size: 1.07 GB,2273,1095,0.48,
